YearMonth,AREA NAME,Count,LAT,LON
2022-09,Northeast,824,34.106353155339804,-118.24624417475728
2022-09,Olympic,1025,34.06037190243903,-118.30081112195121
2022-09,Pacific,991,33.98541775983855,-118.42422563067609
2022-09,Rampart,883,34.06348471121178,-118.27428323895809
2022-09,Southeast,969,33.94004231166151,-118.26796274509803
2022-09,Southwest,1174,34.02022487223169,-118.31535502555367
2022-09,Topanga,772,34.19237642487047,-118.60144520725389
2022-09,Van Nuys,838,34.17845405727924,-118.44650823389021
2022-09,West LA,794,34.05214256926952,-118.43967443324938
2022-09,West Valley,840,34.1899244047619,-118.52257773809524
2022-09,Wilshire,908,34.06088381057269,-118.35176167400881
2022-10,77th Street,1291,33.97775073586367,-118.29838210689388
2022-10,Central,1532,34.047208289817235,-118.25074712793733
2022-10,Devonshire,854,34.24945679156909,-118.53841545667449
2022-10,Foothill,595,34.246710420168064,-118.37672672268909
2022-10,Harbor,792,33.772091414141414,-118.28465075757576
2022-10,Hollenbeck,747,34.05384698795181,-118.20287376171353
2022-10,Hollywood,1080,34.09875175925926,-118.32889527777778
2022-10,Mission,683,34.255758418740854,-118.45046881405563
2022-10,N Hollywood,885,34.17254384180791,-118.38538564971752
2022-10,Newton,1026,34.01030467836257,-118.26110536062379
2022-10,Northeast,896,34.10797444196429,-118.24346941964286
2022-10,Olympic,1103,34.06001595648232,-118.30107515865821
2022-10,Pacific,1159,33.98468602243313,-118.4242179465056
2022-10,Rampart,993,34.063347331319235,-118.27446334340384
2022-10,Southeast,978,33.939207873210634,-118.2673625766871
2022-10,Southwest,1351,34.020291783863804,-118.31730769800149
2022-10,Topanga,761,34.192166097240474,-118.60094914586071
2022-10,Van Nuys,846,34.17882364066194,-118.44763404255319
2022-10,West LA,823,34.05151324422843,-118.439904981774
2022-10,West Valley,915,34.187001092896175,-118.52017355191256
2022-10,Wilshire,1017,34.06180668633235,-118.35103038348083
2022-11,77th Street,1146,33.977441361256545,-118.2975829842932
2022-11,Central,1438,34.047426773296245,-118.25088351877609
2022-11,Devonshire,768,34.250393098958334,-118.54012265624999
2022-11,Foothill,642,34.248445638629285,-118.37364314641744
2022-11,Harbor,665,33.76986857142857,-118.28426330827067
2022-11,Hollenbeck,685,34.05354189781022,-118.20296145985402
