GridLat,GridLon,Total_Crimes,LAT,LON
34.03,-118.51,17,34.032264705882355,-118.51272941176471
34.03,-118.46,34,34.03295294117647,-118.45676764705883
34.03,-118.45,344,34.03189563953489,-118.44983953488372
34.03,-118.44,216,34.030884722222225,-118.44060972222222
34.03,-118.43,223,34.02975739910314,-118.429832735426
34.03,-118.42,195,34.02874153846154,-118.41927538461537
34.03,-118.41,405,34.02841234567901,-118.40984888888889
34.03,-118.4,419,34.029194033412885,-118.39972887828162
34.03,-118.39,247,34.0309947368421,-118.39063886639676
34.03,-118.38,117,34.03308974358974,-118.38058888888888
34.03,-118.37,249,34.02940522088353,-118.3697546184739
34.03,-118.36,300,34.029820666666666,-118.359905
34.03,-118.35,277,34.02969711191336,-118.35064548736462
34.03,-118.34,444,34.030276576576576,-118.33940315315316
34.03,-118.33,351,34.03026467236467,-118.33025555555555
34.03,-118.32,391,34.029845780051154,-118.32095012787723
34.03,-118.31,412,34.030729126213586,-118.30990436893204
34.03,-118.3,472,34.031316525423726,-118.30007987288135
34.03,-118.29,730,34.029331369863016,-118.2898094520548
34.03,-118.28,857,34.02933045507584,-118.28015367561261
34.03,-118.27,817,34.029172460220316,-118.27009314565484
34.03,-118.26,749,34.03049986648865,-118.26036675567423
34.03,-118.25,537,34.030571508379886,-118.25098212290503
34.03,-118.24,298,34.031292617449665,-118.24095906040269
34.03,-118.23,275,34.03098181818182,-118.231528
34.03,-118.22,283,34.029783038869255,-118.21947491166078
34.03,-118.21,270,34.03063777777778,-118.21019222222222
34.03,-118.2,473,34.02935708245243,-118.199655602537
34.03,-118.19,41,34.03226585365854,-118.19403658536585
34.04,-118.56,50,34.040718,-118.55840599999999
34.04,-118.55,46,34.041223913043474,-118.55063260869565
34.04,-118.54,73,34.04041369863013,-118.54023561643837
34.04,-118.53,45,34.041086666666665,-118.52924222222221
34.04,-118.52,35,34.04051142857143,-118.52011714285715
34.04,-118.51,19,34.03947894736842,-118.51085263157896
34.04,-118.49,1,34.0449,-118.4861
34.04,-118.48,4,34.04375,-118.48385
34.04,-118.47,190,34.04206157894737,-118.46761789473683
34.04,-118.46,719,34.04121599443672,-118.45911849791376
34.04,-118.45,270,34.041347037037035,-118.44977481481482
34.04,-118.44,546,34.03899120879121,-118.43908443223444
34.04,-118.43,228,34.03970219298245,-118.43055219298246
34.04,-118.42,106,34.040184905660375,-118.42108490566038
34.04,-118.41,88,34.03926818181819,-118.41047954545455
34.04,-118.4,55,34.03939090909091,-118.39961454545454
34.04,-118.39,154,34.039681168831166,-118.38897272727273
34.04,-118.38,465,34.04126193548387,-118.380711827957
34.04,-118.37,194,34.039067010309275,-118.37103092783505
34.04,-118.36,274,34.03948905109489,-118.36011605839415
34.04,-118.35,369,34.04021382113822,-118.3492921409214
34.04,-118.34,442,34.04082805429864,-118.34027918552037
34.04,-118.33,229,34.04063187772926,-118.32917772925765
34.04,-118.32,305,34.040126885245904,-118.32040327868852
34.04,-118.31,450,34.04067666666667,-118.30998755555557
34.04,-118.3,371,34.04048679245283,-118.29994663072776
34.04,-118.29,453,34.040686313465784,-118.28924569536423
34.04,-118.28,581,34.04073614457832,-118.2799148020654
34.04,-118.27,987,34.04005258358663,-118.26817497467071
34.04,-118.26,2071,34.04112607436021,-118.26003046837276
34.04,-118.25,2056,34.04227383268482,-118.24934975680934
34.04,-118.24,1367,34.04168485735187,-118.24173972201902
34.04,-118.23,459,34.04007777777778,-118.23197668845316
34.04,-118.22,361,34.039852354570634,-118.2193409972299
34.04,-118.21,618,34.04173252427184,-118.20973398058253
34.04,-118.2,254,34.04002755905512,-118.19992755905511
34.04,-118.19,35,34.040905714285714,-118.1935542857143
34.05,-118.57,3,34.04676666666666,-118.56670000000001
34.05,-118.56,41,34.0460243902439,-118.55913414634146
34.05,-118.55,11,34.048590909090905,-118.54915454545454
34.05,-118.54,32,34.048309375,-118.5407625
34.05,-118.53,48,34.047599999999996,-118.52885624999999
34.05,-118.52,52,34.04796730769231,-118.52181730769232
34.05,-118.51,25,34.050336,-118.512196
34.05,-118.5,17,34.05324705882353,-118.49968823529412
34.05,-118.49,52,34.05176153846154,-118.48998653846154
34.05,-118.48,111,34.04829009009009,-118.47717747747747
34.05,-118.47,280,34.05018285714286,-118.46814892857144
34.05,-118.46,438,34.04939086757991,-118.46140022831051
34.05,-118.45,337,34.04717774480712,-118.44960979228486
34.05,-118.44,439,34.050119134396354,-118.44050569476082
34.05,-118.43,230,34.05032347826087,-118.43164086956521
34.05,-118.42,168,34.0496005952381,-118.4202226190476
34.05,-118.41,37,34.05118918918919,-118.41224864864866
34.05,-118.4,69,34.05084057971014,-118.39898550724638
34.05,-118.39,129,34.050776744186045,-118.38941162790698
34.05,-118.38,376,34.05107207446809,-118.38000372340426
34.05,-118.37,355,34.0501061971831,-118.37021999999999
34.05,-118.36,294,34.050198299319725,-118.36031292517006
34.05,-118.35,399,34.04934235588972,-118.34994561403508
34.05,-118.34,516,34.04939360465116,-118.34104224806201
34.05,-118.33,354,34.0495406779661,-118.33033050847457
34.05,-118.32,614,34.04952410423453,-118.32097605863191
34.05,-118.31,811,34.04965709001233,-118.30978212083846
34.05,-118.3,579,34.050848013816925,-118.3000932642487
34.05,-118.29,888,34.049796058558556,-118.2898115990991
34.05,-118.28,1008,34.05079732142857,-118.27942033730159
34.05,-118.27,1142,34.050261996497376,-118.26951584938703
34.05,-118.26,3354,34.04894525939177,-118.25974654144305
34.05,-118.25,3605,34.048217697642166,-118.25022160887656
34.05,-118.24,1409,34.04883328601846,-118.24126408800568
34.05,-118.23,420,34.04974142857143,-118.23180095238096
34.05,-118.22,401,34.048985286783044,-118.21908952618453
34.05,-118.21,436,34.0488502293578,-118.20955573394495
34.05,-118.2,389,34.049497686375325,-118.20043598971722
34.05,-118.19,63,34.04940793650794,-118.19361746031747
34.06,-118.55,41,34.05645853658537,-118.55078536585366
34.06,-118.54,10,34.05768,-118.54377
34.06,-118.51,1,34.0612,-118.5054
34.06,-118.5,13,34.059976923076924,-118.50116923076924
